id,time_start,time_end
lying_down_rest_5_min,1680714236.087,1680714537.447
general_warmup_3_min,1680714574.352,1680714755.65
bike_100,1680714835.113,1680715077.622
bike_130,1680715079.444,1680715320.857
bike_160,1680715328.91,1680715570.316
sitting_recovery_post_bike_5_min,1680715607.135,1680715908.511
running_5,1680715947.787,1680716189.912
running_5_6,1680716196.092,1680716438.887
running_6_2,1680716446.393,1680716687.268
walking_1_6,1680716697.42,1680717224.472
walking_2_2,1680717228.771,1680717470.59
walking_2_8,1680717474.003,1680717716.045
sitting_recovery_post_walk_5_min,1680717739.025,1680718040.289
